Line No.,Nominal Composition,Product Form,Spec. No.,Type/Grade,Alloy Desig./UNS No.,Class/Condition/Temper,Size/Thickness (mm),Min. Tensile Strength (MPa),40,100,150,200,250,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900
1,Carbon steel,Castings,SA-278,20,...,...,...,138,138,138,138,138,138,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
2,Carbon steel,Castings,SA-278,25,...,...,...,173,172,172,172,172,172,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
3,Carbon steel,Castings,SA-278,30,...,...,...,207,207,207,207,207,207,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
4,Carbon steel,Castings,SA-278,35,...,...,...,241,241,241,241,241,241,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
5,Carbon steel,Castings,SA-278,40,...,...,...,276,276,276,276,276,276,276,276,276,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
6,Carbon steel,Sheet,SA-1008,CS-A,...,...,...,275,276,276,276,276,276,276,276,276,276,272,255,235,213,189,169,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
7,Carbon steel,Sheet,SA-1008,CS-B,...,...,...,275,276,276,276,276,276,276,276,276,276,272,255,235,213,189,169,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
8,Carbon steel,Wld. tube,SA-513,1/1008,...,...,...,290,290,290,290,290,290,290,290,290,290,285,267,246,223,199,177,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
9,Carbon steel,Bar,SA-675,45,...,...,...,310,310,310,310,310,310,310,310,310,310,306,286,264,239,213,190,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
10,Carbon steel,Wld. pipe,SA-134,A283A,...,...,...,310,310,310,310,310,310,310,310,310,310,306,286,264,239,213,190,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
11,Carbon steel,Plate,SA-285,A,K01700,...,...,310,310,310,310,310,310,310,310,310,310,306,286,264,239,213,190,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
12,Carbon steel,Wld. pipe,SA-672,A45,K01700,...,...,310,310,310,310,310,310,310,310,310,310,306,286,264,239,213,190,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
13,Carbon steel,Sheet,SA-414,A,K01501,...,...,310,310,310,310,310,310,310,310,310,310,306,286,264,239,213,190,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
14,Carbon steel,Wld. tube,SA-513,1/1010,...,...,...,310,310,310,310,310,310,310,310,310,310,306,286,263,239,214,190,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
15,Carbon steel,Wld. tube,SA-178,A,K01200,...,...,325,324,324,324,324,324,324,324,324,324,319,299,275,250,223,198,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
16,Carbon steel,Smls. tube,SA-179,...,K01200,...,...,325,324,324,324,324,324,324,324,324,324,319,299,275,250,223,198,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
17,Carbon steel,Smls. tube,SA-192,...,K01201,...,...,325,324,324,324,324,324,324,324,324,324,319,299,275,250,223,198,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
18,Carbon steel,Wld. tube,SA-214,...,K01807,...,...,325,324,324,324,324,324,324,324,324,324,319,299,275,250,223,198,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
19,Carbon steel,Smls. tube,SA-556,A2,K01807,...,...,325,324,324,324,324,324,324,324,324,324,319,299,275,250,223,198,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
20,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
21,Carbon steel,Wld. pipe,SA-53,E/A,K02504,...,...,330,331,331,331,331,331,331,331,331,331,326,306,282,255,227,203,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
22,Carbon steel,Butt-wld. pipe,SA-53,F/A,...,...,...,330,331,331,331,331,331,331,331,331,331,326,306,282,255,227,203,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
23,Carbon steel,Smls. pipe,SA-53,S/A,K02504,...,...,330,331,331,331,331,331,331,331,331,331,326,306,282,255,227,203,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
24,Carbon steel,Smls. pipe,SA-106,A,K02501,...,...,330,331,331,331,331,331,331,331,331,331,326,306,282,255,227,203,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
25,Carbon steel,Wld. pipe,SA-135,A,...,...,...,330,331,331,331,331,331,331,331,331,331,326,306,282,255,227,203,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
26,Carbon steel,Forged pipe,SA-369,FPA,K02501,...,...,330,331,331,331,331,331,331,331,331,331,326,306,282,255,227,203,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
27,Carbon steel,Wld. pipe,SA-587,...,K11500,...,...,330,331,331,331,331,331,331,331,331,331,326,306,282,255,227,203,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
28,Carbon steel,Wld. tube,SA-513,1/1015,...,...,...,330,331,331,331,331,331,331,331,331,331,326,305,281,255,228,202,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
29,Carbon steel,Bar,SA-675,50,...,...,...,345,345,345,345,345,345,345,345,345,345,340,318,293,265,237,211,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
30,Carbon steel,Wld. pipe,SA-134,A283B,...,...,...,345,345,345,345,345,345,345,345,345,345,340,318,293,265,237,211,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
31,Carbon steel,Plate,SA-285,B,K02200,...,...,345,345,345,345,345,345,345,345,345,345,340,318,293,265,237,211,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
32,Carbon steel,Wld. pipe,SA-672,A50,K02200,...,...,345,345,345,345,345,345,345,345,345,345,340,318,293,265,237,211,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
33,Carbon steel,Sheet,SA-414,B,K02201,...,...,345,345,345,345,345,345,345,345,345,345,340,318,293,265,237,211,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
34,Carbon steel,Plate,SA/EN 10028-3,P275NH,...,...,150 < t <=250,350,350,350,350,350,350,350,350,350,350,345,323,298,270,241,214,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
35,Carbon steel,Plate,SA/EN 10025-2,S235JR,...,...,t <=100,360,359,359,359,359,359,359,359,359,359,354,331,305,276,247,219,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
36,Carbon steel,Plate,SA/EN 10028-2,P235GH,...,...,<=60,360,360,360,360,360,360,360,360,360,360,355,332,306,277,248,220,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
37,Carbon steel,Plate,SA/EN 10028-3,P275NH,...,...,100 < t <=150,360,360,360,360,360,360,360,360,360,360,355,332,306,277,248,220,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
38,Carbon steel,Smls. tube,SA/EN 10216-2,P235GH,...,...,t <=60,360,360,360,360,360,360,360,360,360,360,355,332,306,277,248,220,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
39,Carbon steel,Wld. pipe & tube,SA/EN 10217-1,P235TR2,...,...,t <=40,360,359,359,359,359,359,359,359,359,359,353,331,305,276,247,219,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
40,Carbon steel,"Sheet, strip",SA-1011,36,SS,Type 1,t <=6,365,366,366,364,362,362,362,362,362,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
41,Carbon steel,Plate,SA/EN 10028-3,P275NH,...,...,60 < t <=100,370,369,369,369,369,369,369,369,369,369,365,343,316,286,255,225,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
42,Carbon steel,Bar,SA-675,55,...,...,...,380,379,379,379,379,379,379,379,379,379,374,350,322,292,261,232,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
43,Carbon steel,Wld. pipe,SA-134,A283C,K02401,...,...,380,379,379,379,379,379,379,379,379,379,374,350,322,292,261,232,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
44,Carbon steel,Plate,SA-283,C,K02401,...,...,380,379,379,379,379,379,379,379,379,379,374,350,322,292,261,232,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
45,Carbon steel,Plate,SA-285,C,K02801,...,...,380,379,379,379,379,379,379,379,379,379,374,350,322,292,261,232,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
46,Carbon steel,Smls. & wld. pipe,SA-333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Carbon steel,Smls. & wld. tube,SA-334,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Carbon steel,Plate,SA-516,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Carbon steel,Smls. pipe,SA-524,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Carbon steel,Wld. pipe,SA-671,CA55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Carbon steel,Wld. pipe,SA-671,CE55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Carbon steel,Wld. pipe,SA-672,A55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Carbon steel,Wld. pipe,SA-672,B55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Carbon steel,Wld. pipe,SA-672,C55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Carbon steel,Wld. pipe,SA-672,E55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Carbon steel,Sheet,SA-414,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Carbon steel,"Sheet, strip",SA-1011,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Carbon steel,"Sheet, strip",SA-1011,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Carbon steel,Plate,SA/EN 10028-3,P275NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Carbon steel,"Plate, sheet, bar",SA-36,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Carbon steel,"Plate, sheet",SA-662,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Carbon steel,"Sheet, strip",SA-1011,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Carbon steel,Plate,SA/EN 10028-2,P265GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Carbon steel,Smls. tube,SA/EN 10216-2,P265GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Carbon steel,"Plate, bar, shapes",SA/IS 2062,E250A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Carbon steel,"Plate, bar, shapes",SA/IS 2062,E250BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Carbon steel,"Plate, bar, shapes",SA/IS 2062,E250 B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Carbon steel,"Plate, bar, shapes",SA/IS 2062,E250C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Carbon steel,Forgings,SA-181,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Carbon steel,Castings,SA-216,WCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Carbon steel,Forgings,SA-266,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Carbon steel,Bolting,SA-307,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Carbon steel,Bolting,SA-307,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Carbon steel,Forgings,SA-350,LF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Carbon steel,Castings,SA-352,LCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Carbon steel,Cast pipe,SA-660,WCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Carbon steel,Bar,SA-675,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Carbon steel,Forgings,SA-765,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Carbon steel,Plate,SA-515,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Carbon steel,Plate,SA-516,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Carbon steel,Wld. pipe,SA-671,CB60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Carbon steel,Wld. pipe,SA-671,CC60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Carbon steel,Wld. pipe,SA-671,CE60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Carbon steel,Wld. pipe,SA-672,B60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Carbon steel,Wld. pipe,SA-672,C60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Carbon steel,Wld. pipe,SA-672,E60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Carbon steel,Wld. pipe,SA-134,A283D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Carbon steel,Plate,SA-283,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Carbon steel,Wld. pipe,SA-53,E/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Carbon steel,Smls. pipe,SA-53,S/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
